frame,time_ns,ca_rmsd_A,ligand_rmsd_A,protein_rg_A,protein_ligand_com_distance_A,protein_ligand_min_distance_A,protein_ligand_contacts_4A
19,0.19095477386934673,2.1774620307925754,3.2426116466522217,28.44993782043457,38.35767779634445,1.8967237366790621,161
20,0.20100502512562815,2.278299094738268,2.4116265773773193,28.35245132446289,38.92211402874931,2.5403515876675304,176
21,0.21105527638190955,2.2528993982466585,2.254983425140381,28.439416885375977,38.44487695264386,2.568586173135884,138
22,0.22110552763819097,2.279816503296609,2.651745557785034,28.36663818359375,38.20460038728422,2.7368161744724637,115
23,0.23115577889447236,2.219001979074852,1.449325680732727,28.413801193237305,38.3164458167232,2.283057637937954,140
24,0.24120603015075376,2.0347137804974187,1.8963443040847778,28.19642448425293,38.11378703990695,2.4745489782453878,184
25,0.25125628140703515,1.9858443243840858,2.588911294937134,28.267263412475586,38.3104035474859,2.346531945488115,136
26,0.2613065326633166,1.9971891228239007,2.7640037536621094,28.185958862304688,38.08283170336535,2.6060466224935075,147
27,0.271356783919598,2.3098080956980436,2.326408863067627,28.344528198242188,38.350215801574315,2.166611633224289,159
28,0.2814070351758794,2.2760033126828874,1.5159907341003418,28.266693115234375,38.206506052147994,2.148392613200106,131
29,0.2914572864321608,2.3147098105539077,2.2347607612609863,28.440227508544922,38.93800631916632,2.095007460513244,133
30,0.30150753768844224,2.4026728051471755,1.7341357469558716,28.455368041992188,38.426989979799394,2.176526375489862,159
31,0.31155778894472363,2.6298706310970816,2.113764762878418,28.396503448486328,38.55770581252299,2.4624214437083625,154
32,0.32160804020100503,2.4883100765544186,2.0895354747772217,28.24822998046875,38.654192505621744,2.5127670548769476,173
33,0.3316582914572864,2.2507679353520142,2.0031819343566895,28.15178680419922,37.80809293441277,2.394770366541852,144
34,0.3417085427135678,2.448499285719904,1.7367756366729736,28.473033905029297,38.12059561607562,1.9403476236526278,134
35,0.35175879396984927,2.397737075099981,1.7155250310897827,28.30115509033203,38.3297618091049,2.5101569516607065,134
36,0.36180904522613067,2.34039657558819,1.96112859249115,28.39676284790039,37.53278736710039,2.2359861464456934,135
37,0.37185929648241206,2.3666723412721153,1.888092041015625,28.49701499938965,38.39180251052314,2.0870747893315205,151
38,0.38190954773869346,2.322018542378239,2.0397589206695557,28.344022750854492,37.64376117877067,2.350353064819113,181
39,0.3919597989949749,2.3613917304589203,1.7929275035858154,28.44560432434082,37.367478586112085,2.4538217135197793,136
40,0.4020100502512563,2.299986974389361,2.364454984664917,28.342041015625,38.14606777571738,2.510546875736016,133
41,0.4120603015075377,2.2777560455260804,2.5087921619415283,28.392141342163086,36.888702558672584,2.638593059212718,179
42,0.4221105527638191,2.178733096122576,2.234719753265381,28.321685791015625,36.928429394716446,2.236731813077566,129
43,0.4321608040201005,2.198663063492749,1.761759877204895,28.485200881958008,37.8877700494966,2.080733877846523,174
44,0.44221105527638194,2.247721342873292,1.943324089050293,28.47498321533203,37.18035055483438,2.3295364930498175,148
45,0.45226130653266333,2.350798503193006,1.6431338787078857,28.514034271240234,37.39367674445667,2.4305718890210946,162
46,0.4623115577889447,2.1274637707199284,2.272223472595215,28.41936492919922,36.699310039096694,1.8974270458252789,135
47,0.4723618090452261,2.2731025236712807,2.676520586013794,28.53107261657715,36.54921726906854,2.186436067158276,175
48,0.4824120603015075,2.3708775775919553,2.2970035076141357,28.53202247619629,36.959134826972615,2.4877241751156234,161
49,0.49246231155778897,2.4441929661919635,2.6934115886688232,28.56574821472168,36.389766391632314,1.9115560697315814,169
50,0.5025125628140703,2.402827518538013,3.171786308288574,28.48102378845215,36.067202988061574,2.057994331878056,170
51,0.5125628140703518,2.390311255918607,2.6131887435913086,28.54606819152832,36.46592315794905,2.32805537535839,144
52,0.5226130653266332,2.265292722029422,2.8178348541259766,28.44858741760254,35.99777902544727,2.3165030269777978,142
53,0.5326633165829145,2.279221501251274,2.5111091136932373,28.567224502563477,36.84936681727557,2.433976693696485,190
54,0.542713567839196,2.3806957040446104,2.3649935722351074,28.713590621948242,36.37029995000397,1.9204470352658285,182
55,0.5527638190954774,2.552556317851787,2.6445910930633545,28.82374382019043,36.43063827988927,1.87308999511178,151
56,0.5628140703517588,2.334658760758883,2.414646625518799,28.66344451904297,36.82472929108378,2.0962006039707,162
57,0.5728643216080402,2.5816577138720853,3.2394731044769287,28.593671798706055,35.915197723020434,1.8451655244901697,190
58,0.5829145728643216,2.7177479534634434,3.2653403282165527,28.733470916748047,35.625634106928615,1.8682341812387102,150
59,0.592964824120603,2.769693066304696,3.157000780105591,28.834815979003906,35.939650820332524,2.1851658715686977,179
60,0.6030150753768845,2.7384972095039233,3.6860806941986084,28.766040802001953,35.77824878472768,2.334423560325351,167
61,0.6130653266331658,2.7777916048429727,4.090841293334961,28.752567291259766,35.83386458105167,2.4932681811012114,143
62,0.6231155778894473,2.915423950089119,3.59370493888855,28.835124969482422,36.15495941188806,1.8351969021486856,120
63,0.6331658291457286,2.949427051720506,4.236537933349609,28.699018478393555,35.250571506321144,1.817487481171367,165
64,0.6432160804020101,2.9321905969122466,3.592763900756836,28.777921676635742,36.06740171405871,2.4116641603974234,150
65,0.6532663316582915,2.8803877749779034,3.7190375328063965,28.656631469726562,35.73319038431371,2.0932739686365585,171
66,0.6633165829145728,2.8094843832268164,3.810403823852539,28.535423278808594,35.43131676756809,2.1344103622435266,128
67,0.6733668341708543,2.9530724331447185,3.2697770595550537,28.698562622070312,36.36650675018339,2.1049673372188753,125
68,0.6834170854271356,2.805178033672886,3.358379364013672,28.736055374145508,36.534196004060846,2.4976113234008257,124
69,0.6934673366834171,2.775414351861442,3.14819073677063,28.536090850830078,36.48953760702389,2.308850820769284,110
70,0.7035175879396985,2.7050683322050353,3.224612236022949,28.341670989990234,36.34821344084944,2.1077968045528963,124
71,0.7135678391959799,2.7946701062984447,3.187596082687378,28.55909538269043,36.956138793907414,2.419242374099093,97
72,0.7236180904522613,2.845362245242174,3.677297830581665,28.512327194213867,35.655005691782556,2.4282162976048656,128
73,0.7336683417085427,2.881737711458621,3.854182481765747,28.51819610595703,35.96675115488682,2.3751736913624595,116
74,0.7437185929648241,2.879529684878879,3.6067886352539062,28.554794311523438,36.71287475652469,2.356673721290039,104
75,0.7537688442211056,2.6468334299970744,2.7776408195495605,28.58247184753418,37.595183492283894,2.520541578458088,95
76,0.7638190954773869,2.6746102186427705,2.796088933944702,28.5626220703125,37.69796073437505,2.793900574848074,84
77,0.7738693467336684,2.53109059393878,2.9914329051971436,28.4918270111084,37.179692766695744,2.5376199616849626,114
78,0.7839195979899498,2.4712071076123396,3.7959702014923096,28.443132400512695,36.52667884196966,2.5385709008533888,96
79,0.7939698492462312,2.7134759299452447,2.7027266025543213,28.592161178588867,37.49171150247453,2.387432742296386,137
80,0.8040201005025126,2.844988520494198,2.7670950889587402,28.736602783203125,37.451412281044774,2.5037653850034176,119
81,0.8140703517587939,2.7994352461768934,2.7456445693969727,28.567188262939453,37.071859527214244,2.6348689962846468,97
82,0.8241206030150754,2.668183862691988,2.99379825592041,28.56889533996582,36.803491442011484,2.3550779902983434,118
83,0.8341708542713568,2.6053283065390658,2.703350782394409,28.53019905090332,36.6190992827995,2.338882773166743,118
84,0.8442211055276382,2.4385313775278274,2.731313943862915,28.707799911499023,37.060874048772064,2.605688565137182,114
85,0.8542713567839196,2.409754762647743,2.8900258541107178,28.56984519958496,36.46135979012731,2.450273462151548,116
86,0.864321608040201,2.3920596070117224,3.0902228355407715,28.36134147644043,36.16599907117889,2.0398180622572326,107
87,0.8743718592964824,2.340961233882803,2.842604875564575,28.384016036987305,36.705743841433176,2.4595827623467796,125
88,0.8844221105527639,2.2395209272837246,2.4492883682250977,28.52921485900879,37.954877292746396,2.2866571894232237,113
89,0.8944723618090452,2.3630369040271177,2.5864791870117188,28.529861450195312,36.942324198854024,2.3391480867130183,131
90,0.9045226130653267,2.3924296905017517,2.755056858062744,28.42047882080078,37.141219423802475,1.9434169172846116,150
91,0.914572864321608,2.328779497321701,2.9080755710601807,28.44772720336914,36.880127780685726,2.199145419094567,129
92,0.9246231155778895,2.445925068136386,2.6287412643432617,28.5435733795166,36.947238906397985,2.4209704266172554,132
93,0.9346733668341709,2.389314240108702,2.6660802364349365,28.54757308959961,37.178740308892095,2.36504506624689,135
94,0.9447236180904522,2.2932136786284483,2.9846434593200684,28.362825393676758,36.23657330009764,2.45798036945486,105
95,0.9547738693467337,2.433625127826723,2.6737935543060303,28.496431350708008,37.13629737751157,2.453977566775559,113
96,0.964824120603015,2.4220271466456644,3.26954984664917,28.556196212768555,36.615965125128966,2.0321761701937895,146
97,0.9748743718592965,2.3894036103322303,3.803676128387451,28.33372688293457,36.3805362967818,2.257569049156688,102
98,0.9849246231155779,2.42221609731434,2.9965765476226807,28.493749618530273,36.22245658391634,2.20865134478308,114
99,0.9949748743718593,2.5746441060609357,3.383208990097046,28.558286666870117,36.38263482673494,1.9153093098612612,104
100,1.0050251256281406,2.3833360533460985,3.2572784423828125,28.40582275390625,36.61710947500177,2.4400941541965757,109
101,1.015075376884422,2.330183894608698,3.3027493953704834,28.479232788085938,37.06536709563755,2.4347704419705893,134
102,1.0251256281407035,2.360581611657743,2.7434542179107666,28.484283447265625,36.842866930856,2.635023702350272,134
103,1.035175879396985,2.311699281004993,3.0317676067352295,28.50060272216797,37.45140032439439,2.3013711869459317,161
104,1.0452261306532664,2.516402079563759,3.4449031352996826,28.57467269897461,37.21650891300471,2.0054993397203855,154
105,1.0552763819095476,2.2651477490401795,3.287277936935425,28.478891372680664,36.812691035117446,2.336104083317361,138
106,1.065326633165829,2.330353775964035,3.0592329502105713,28.357601165771484,37.268189973947074,2.138843765101613,94
107,1.0753768844221105,2.445327338601509,3.3996026515960693,28.191566467285156,36.1518417084096,2.217625314053227,103
108,1.085427135678392,2.5104436595993036,3.023789405822754,28.374086380004883,37.178367339387606,2.266005851644313,116
109,1.0954773869346734,2.65073660932025,2.9593961238861084,28.379039764404297,36.608560578000755,2.536318187255909,84
110,1.105527638190955,2.7390815236541384,3.4176504611968994,28.472929000854492,36.87110014282381,2.2577254858186757,136
111,1.1155778894472361,2.7288142679763254,3.234170436859131,28.564889907836914,37.606907878456724,2.298976624963989,93
112,1.1256281407035176,2.7329896276408174,2.918954372406006,28.609119415283203,37.75226326655849,2.3267251524278976,122
113,1.135678391959799,2.548095436301104,3.1309444904327393,28.539628982543945,37.98475519042159,2.4855731274632253,99
114,1.1457286432160805,2.3703651139834157,3.663848876953125,28.331859588623047,35.913085962942915,2.492656934309748,102
115,1.155778894472362,2.5651515763267714,3.5803627967834473,28.187463760375977,35.28731456696233,2.4252309694338647,151
116,1.1658291457286432,2.7652205750797934,3.2000935077667236,28.495275497436523,35.607526367761984,2.5600683157942186,147
117,1.1758793969849246,3.03230093813876,3.420006036758423,28.556217193603516,35.47951320256384,2.481347475507922,137
118,1.185929648241206,2.9124136983824087,3.9469780921936035,28.605270385742188,35.73219817602439,2.3729727655145667,187
119,1.1959798994974875,2.924231547606561,3.779589891433716,28.49918556213379,35.58725566621945,2.379898646154007,203
120,1.206030150753769,3.00894032249731,3.164069175720215,28.462474822998047,36.73444129993362,2.4134354717171824,179
121,1.2160804020100502,2.946664258764822,3.195223569869995,28.536365509033203,36.18517454820816,2.325777031695677,174
122,1.2261306532663316,2.8883725188140805,4.196708679199219,28.25157928466797,34.628071769423,2.5986943472169575,166
123,1.236180904522613,2.7099884640426786,3.860732078552246,28.405838012695312,35.498073247231126,2.452987326550791,185
124,1.2462311557788945,2.780401874850335,3.65293550491333,28.402503967285156,35.45679625317867,2.2629045808916923,187
125,1.256281407035176,2.8928387079437696,3.7327394485473633,28.552595138549805,35.47010256454228,2.343618461331311,195
126,1.2663316582914572,3.041316657619846,3.959012031555176,28.5650634765625,35.27893406943149,2.3077540993213246,211
127,1.2763819095477387,2.9470949956479973,4.247313022613525,28.542022705078125,35.132526303266715,2.2006354638186663,187
128,1.2864321608040201,3.046167757424443,4.572681903839111,28.59929084777832,35.452099078863306,2.308760324994877,175
129,1.2964824120603016,2.7375381346894776,5.467471122741699,28.404888153076172,34.47097395323954,2.429423070548445,194
130,1.306532663316583,2.573810210656123,4.554427623748779,28.441198348999023,35.00997785672602,2.4076235673397597,207
131,1.3165829145728642,2.6355086133631462,5.2492523193359375,28.41131591796875,34.2881134893421,2.1263855842761816,177
132,1.3266331658291457,2.649447252791088,5.768003940582275,28.33452033996582,33.984398828521606,2.3863420909298894,206
133,1.3366834170854272,2.5020870904331347,4.924604415893555,28.372337341308594,34.465492813624415,2.3707676259822614,203
134,1.3467336683417086,2.599139627271935,3.895742416381836,28.319067001342773,35.04143517452154,2.5366607663257446,170
135,1.35678391959799,2.7322366116730765,3.9213929176330566,28.379602432250977,35.41047851938906,2.4579542386865865,200
136,1.3668341708542713,2.580705607342421,4.221437931060791,28.26239013671875,34.990005956774716,2.310226491907553,188
137,1.3768844221105527,2.5956448882826875,4.327634334564209,28.438018798828125,35.12629460983084,2.1479837007459577,192
138,1.3869346733668342,2.6429369074525297,5.135576248168945,28.294340133666992,34.79372694992798,2.360107061743795,168
139,1.3969849246231156,2.6846102159896343,4.034203052520752,28.274044036865234,35.24786293850357,2.1064944329315956,175
140,1.407035175879397,2.8086050564178526,5.014298439025879,28.41039276123047,35.155377772743655,2.4174198430985583,192
141,1.4170854271356783,2.978104692075492,4.440920829772949,28.48565673828125,35.40546709988704,2.2340824914343127,181
142,1.4271356783919598,3.0035318638205024,4.33266544342041,28.42074203491211,34.98606052934127,2.360530234645855,197
143,1.4371859296482412,3.1669593327784353,5.270129680633545,28.4688777923584,35.13769320960491,2.362029764051224,135
144,1.4472361809045227,2.9118749154942054,4.475381374359131,28.55535316467285,35.625670164119676,2.453161045946632,176
145,1.4572864321608041,3.0049793778941507,5.312439441680908,28.380090713500977,34.8898431934103,2.352367365302594,194
146,1.4673366834170853,3.0616409922004344,4.9610819816589355,28.383352279663086,34.94619433066457,2.012732629711881,179
147,1.4773869346733668,3.2114342562707656,5.564452171325684,28.371360778808594,35.04943179880885,2.393469423968864,195
148,1.4874371859296482,3.3254470032793946,5.180333614349365,28.34521484375,34.66442959562913,2.4234562433042477,225
149,1.4974874371859297,3.578376854525221,5.864304542541504,28.337764739990234,33.66017979985431,2.2523339882660083,218
150,1.5075376884422111,3.5023433527983783,5.583869457244873,28.229408264160156,33.530447710751226,2.4461466081558205,198
151,1.5175879396984926,3.5800422440579407,5.666265964508057,28.364742279052734,33.62255798319762,1.938235300411574,181
152,1.5276381909547738,3.585696354061355,5.650766849517822,28.325172424316406,33.69947857588592,2.346571075464064,183
153,1.5376884422110553,3.5730428896703925,5.16136360168457,28.364994049072266,33.8582828199528,2.419963830322907,214
154,1.5477386934673367,3.5476660808057825,5.5311198234558105,28.4119930267334,33.52000061171073,2.446364809565897,202
155,1.5577889447236182,3.442733005440623,5.035694122314453,28.38829803466797,33.942573412674605,2.468016882444535,161
156,1.5678391959798996,3.564700885836811,6.103099822998047,28.39129066467285,32.86510697022661,2.4601903128916702,187
157,1.5778894472361809,3.5225346739967653,4.556177616119385,28.588109970092773,34.95071980329331,2.3933182441856538,185
158,1.5879396984924623,3.563031867081643,4.677942276000977,28.433679580688477,34.54031108445965,2.444528655214159,185
159,1.5979899497487438,3.506894819648225,4.967843055725098,28.44203758239746,34.38514019439039,2.4774337433679587,165
160,1.6080402010050252,3.415392144764615,5.986865997314453,28.445865631103516,33.77858181601688,2.3290710187835835,202
161,1.6180904522613067,3.688621404648596,4.964301586151123,28.736286163330078,34.85203486107222,2.3402970311638778,240
162,1.6281407035175879,3.652576159668784,5.173894882202148,28.53493309020996,34.58189455121972,2.406249881737149,236
163,1.6381909547738693,3.497410001475238,5.8401055335998535,28.303808212280273,33.86168610779851,2.38086183081767,228
164,1.6482412060301508,3.339913463052805,5.405945777893066,28.29244041442871,34.12030711383189,2.4045160773970577,202
165,1.6582914572864322,3.55526135114462,6.395252227783203,28.384658813476562,33.558149312845885,2.1593977144612864,202
166,1.6683417085427137,3.575275121490033,5.895552635192871,28.228515625,33.34674558766941,2.3681842319991304,182
167,1.678391959798995,3.605510747941652,5.8239970207214355,28.271589279174805,33.81248236652524,2.3750539347042254,179
168,1.6884422110552764,3.411610476943207,4.566544532775879,28.349761962890625,34.7592649761376,2.463932394295712,167
169,1.6984924623115578,3.20419263801365,4.500064849853516,28.2954158782959,34.692315407696,2.3623532350490017,193
170,1.7085427135678393,3.053338069189366,4.188925266265869,28.395118713378906,34.849429641734275,2.2658827167768485,167
171,1.7185929648241207,3.2787834940467335,5.024832725524902,28.508235931396484,34.503043591442,2.3985566862577152,168
172,1.728643216080402,3.118331398912582,5.294079780578613,28.245601654052734,34.34184178654895,2.2481032771198026,144
173,1.7386934673366834,3.3421993018598815,5.374561309814453,28.403858184814453,34.16738892580932,2.566819666387115,158
174,1.7487437185929648,3.4591638232562074,6.21793794631958,28.249961853027344,33.5575421123322,2.5258830457937966,148
175,1.7587939698492463,3.466454279584107,5.857016563415527,28.43227195739746,33.68355111758923,2.330295249058983,147
176,1.7688442211055277,3.531494496315608,5.797943592071533,28.349348068237305,33.85795373170924,2.3928942263234227,163
177,1.778894472361809,3.3275993733516165,5.364668369293213,28.343429565429688,34.214119917373225,2.34327206987046,231
178,1.7889447236180904,3.3562103242920562,6.491076469421387,28.312448501586914,33.65545374745471,2.176723719706546,226
179,1.7989949748743719,3.56158646556696,6.484110355377197,28.155630111694336,32.87199922432423,2.3843083711316804,222
180,1.8090452261306533,3.6690172099999203,6.861464977264404,28.262548446655273,32.71957661792737,2.1955071826914154,245
181,1.8190954773869348,3.6391567427758016,6.2096991539001465,28.194591522216797,33.09380173178759,2.389770356716837,233
182,1.829145728643216,3.4061098254053146,6.43115234375,28.310827255249023,33.17217315116989,2.3681935762533857,203
183,1.8391959798994975,3.4299074789476895,6.348066806793213,28.25861358642578,33.10636031767956,2.417810228203802,211
184,1.849246231155779,3.347163737490198,5.840256690979004,28.177509307861328,33.68305352687533,2.455036830192058,224
185,1.8592964824120604,3.4030448017483135,6.441514492034912,28.353973388671875,33.46591527616328,2.5044903309324607,211
186,1.8693467336683418,3.470261016401791,6.506028652191162,28.360857009887695,33.76247200350973,2.437693472723935,188
187,1.879396984924623,3.617256386072952,6.799361228942871,28.310161590576172,33.33881917763523,2.43120203577756,218
188,1.8894472361809045,3.510847839856375,7.201483726501465,28.123987197875977,32.51154143883456,2.3346071723967765,166
189,1.899497487437186,3.373916145312408,7.207372188568115,28.204513549804688,32.57464506137945,2.3868906330340645,182
190,1.9095477386934674,3.3362584886772444,7.250178337097168,28.299379348754883,33.22458503142261,2.404214563686219,173
191,1.9195979899497488,3.612617116397961,7.747747421264648,28.360532760620117,33.46340596666879,2.6048898611900837,95
192,1.92964824120603,3.7929793418026563,6.846879005432129,28.3504581451416,33.35460140632195,2.438478639880321,158
193,1.9396984924623115,3.787838577922964,6.623593330383301,28.230472564697266,33.03143089693204,2.3336391188781485,156
194,1.949748743718593,3.793495085466318,7.864266872406006,28.207246780395508,31.908564055530775,2.5622891937699306,113
195,1.9597989949748744,3.625666941253215,6.971401214599609,28.213747024536133,33.71534736708748,2.5032249901410606,136
196,1.9698492462311559,3.413629675574043,7.478217124938965,28.31747817993164,32.56705381987039,2.5022896326170625,127
197,1.9798994974874373,3.185184884364826,7.081785202026367,28.35224151611328,33.20296712789464,2.349160718601616,142
198,1.9899497487437185,3.1587344771404484,5.5091094970703125,28.349769592285156,34.08913997027596,2.4896193776346847,145
199,2.0,3.4639224151430885,5.677125453948975,28.544313430786133,34.15071425813819,2.4032117332599694,163
