epoch,train_loss,train_classification_loss,train_ranking_loss,train_ranking_pairs,val_loss,auroc,auprc,precision,recall,ranking_group_count,ranking_valid_group_count,ranking_mean_group_size,ranking_median_group_size,ranking_mean_positive_count,mean_group_auroc,top1_hit,top5_hit,top10_hit,top50_hit,top100_hit,mrr,ndcg,mean_positive_rank,external_loss,external_auroc,external_auprc,external_precision,external_recall,external_ranking_group_count,external_ranking_valid_group_count,external_ranking_mean_group_size,external_ranking_median_group_size,external_ranking_mean_positive_count,external_mean_group_auroc,external_top1_hit,external_top5_hit,external_top10_hit,external_top50_hit,external_top100_hit,external_mrr,external_ndcg,external_mean_positive_rank,best_metric,best_metric_value,best_metric_source
0,0.5172822591216365,0.6618676029098773,0.21248131303630177,104368,0.5727667842879735,0.8588332620422519,0.8261898131134022,0.685886875343218,0.9238165680473372,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.5218691202048376,0.29850746268656714,0.9253731343283582,0.9402985074626866,1.0,1.0,0.5218740967071683,0.6665156191981387,3.5074626865671643,0.5639984162760453,0.8658556530272081,0.8352710873305388,0.7040586245772266,0.924500370096225,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.5130692703085565,0.3333333333333333,0.9242424242424242,0.9545454545454546,1.0,1.0,0.5300264550264551,0.6672870789716325,3.393939393939394,mrr,0.5300264550264551,external
1,0.30987824373979317,0.4971720791455763,0.10715107605289172,104569,0.43464228814534545,0.9229749372242421,0.9162630084147619,0.8161073825503355,0.8994082840236687,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.7517341406692098,0.5373134328358209,0.9402985074626866,0.9701492537313433,1.0,1.0,0.7054575606814413,0.7951456507449284,2.5223880597014925,0.42118543487199595,0.9267184619109095,0.9211643324117266,0.8242055442866801,0.9022945965951147,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.7370533713786378,0.5454545454545454,0.9393939393939394,0.9545454545454546,1.0,1.0,0.7101534828807556,0.7965985623804958,2.393939393939394,mrr,0.7101534828807556,external
2,0.29406818777966387,0.39476424036271146,0.11709260801128571,104965,0.45397935990958843,0.9314281286883234,0.9211329351935406,0.8007736943907157,0.9186390532544378,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.8146640757237035,0.6119402985074627,0.9402985074626866,0.9850746268656716,1.0,1.0,0.7584513330781988,0.8405828160533567,2.1641791044776117,0.4389012269151043,0.9365340898640362,0.9271367237932768,0.8063063063063063,0.927461139896373,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.8314128133363864,0.6666666666666666,0.9545454545454546,0.9848484848484849,1.0,1.0,0.7851731601731602,0.8604628717760171,1.9090909090909092,mrr,0.7851731601731602,external
3,0.19486841116549244,0.30976826237939326,0.06795861891855474,104424,0.2481073668240998,0.9833857124751472,0.9791893495838759,0.9228571428571428,0.9556213017751479,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.8757715620301308,0.7611940298507462,0.9552238805970149,1.0,1.0,1.0,0.8388651978204217,0.8979875602366169,1.6865671641791045,0.23832704492018256,0.9849873660234266,0.9815906888916665,0.9292351679771265,0.9622501850481125,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.8904361725406282,0.803030303030303,0.9848484848484849,1.0,1.0,1.0,0.8696127946127946,0.918372052797985,1.5151515151515151,mrr,0.8696127946127946,external
4,0.1340417464542428,0.2533266085305722,0.03869584051463707,104771,0.20870657090309716,0.9934328041950842,0.9914295275509881,0.9229181004817619,0.9918639053254438,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9215882665923927,0.8059701492537313,0.9850746268656716,1.0,1.0,1.0,0.8889481165600569,0.9277242460311221,1.328358208955224,0.20975602604973484,0.9919582986808269,0.9907474318108298,0.9266435986159169,0.9911176905995559,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9153423819483607,0.8939393939393939,1.0,1.0,1.0,1.0,0.9305555555555555,0.9435661649826594,1.2272727272727273,mrr,0.9305555555555555,external
5,0.11898484364466279,0.23658330168474015,0.03200656644215637,104490,0.20304762391414094,0.9938189642197983,0.9920036405924672,0.9697199091597275,0.9474852071005917,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.8889177992498529,0.7611940298507462,0.9850746268656716,1.0,1.0,1.0,0.8571073205401564,0.9032097269758949,1.462686567164179,0.21067350607522775,0.9931272459919498,0.9912084664647335,0.9651778955336866,0.9437453737971873,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9187388802139179,0.8636363636363636,0.9848484848484849,1.0,1.0,1.0,0.91504329004329,0.9377161323260391,1.303030303030303,mrr,0.91504329004329,external
6,0.110456111997981,0.22097310313259116,0.029442785532069936,104076,0.17733909567727726,0.9954938095577577,0.994117805456375,0.9692307692307692,0.9785502958579881,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9287057383406767,0.835820895522388,0.9850746268656716,1.0,1.0,1.0,0.9092039800995025,0.9335790901266686,1.2537313432835822,0.1813719113108138,0.9945696021999971,0.9938442380638972,0.964963503649635,0.9785344189489267,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9502447147759647,0.9090909090909091,1.0,1.0,1.0,1.0,0.9507575757575758,0.958935032387629,1.121212121212121,mrr,0.9507575757575758,external
7,0.09386382748944097,0.20235542229387535,0.022104799029499914,104928,0.18581148940161427,0.9958413535800005,0.9948387066332303,0.9688888888888889,0.9674556213017751,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9305809698630452,0.8208955223880597,1.0,1.0,1.0,1.0,0.8997512437810946,0.9331090490714755,1.2686567164179106,0.18699124635944903,0.9950716803561673,0.9938866991331716,0.9647058823529412,0.9711324944485566,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9490734456219232,0.9090909090909091,1.0,1.0,1.0,1.0,0.9482323232323232,0.9586271561700566,1.1363636363636365,mrr,0.9482323232323232,external
8,0.08384153924956571,0.18348349460709606,0.019197659086709538,104344,0.1793252345925892,0.9965797608580277,0.9956474598026117,0.9576757532281205,0.9874260355029586,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9445692953092852,0.8805970149253731,1.0,1.0,1.0,1.0,0.9328358208955224,0.9502017556022307,1.1791044776119404,0.17219569326286585,0.996073351133081,0.995097906544642,0.9653929343907715,0.9911176905995559,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9462903110659522,0.9242424242424242,1.0,1.0,1.0,1.0,0.9545454545454546,0.9627377985104211,1.1363636363636365,mrr,0.9545454545454546,external
9,0.09267893413262229,0.19912655405008284,0.02196064402866194,104720,0.16749599548770103,0.9967047677891051,0.9952450103720184,0.9633883704235463,0.992603550295858,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9258391092742936,0.835820895522388,0.9850746268656716,1.0,1.0,1.0,0.9042288557213931,0.932095624760129,1.2835820895522387,0.18156598126384574,0.9940431657966464,0.9907551090178972,0.9591982820329277,0.9918578830495929,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.928961010499472,0.8636363636363636,1.0,1.0,1.0,1.0,0.9217171717171716,0.9436805213414673,1.2121212121212122,mrr,0.9217171717171716,external
10,0.07714505926432479,0.173052430026687,0.01681955235518441,104753,0.1554767564410319,0.9978459201698312,0.9970773720370044,0.9830383480825958,0.9859467455621301,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9544085129906026,0.8955223880597015,1.0,1.0,1.0,1.0,0.9390547263681591,0.9573658677393485,1.164179104477612,0.1581640535257232,0.996916941856864,0.9964889694020769,0.9808823529411764,0.9874167283493709,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9654839954679698,0.9393939393939394,1.0,1.0,1.0,1.0,0.9659090909090909,0.9721836294865339,1.0909090909090908,mrr,0.9659090909090909,external
11,0.06782007636149451,0.16264363866748086,0.012684655164591862,104463,0.16820165215456728,0.9972087561290527,0.9965407082273405,0.9805389221556886,0.9689349112426036,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9514842454394694,0.8805970149253731,1.0,1.0,1.0,1.0,0.9365671641791045,0.9532411475577188,1.1492537313432836,0.17388771690533195,0.9966147007489912,0.9955946258233549,0.9761372110365399,0.9689119170984456,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9531598224306558,0.8939393939393939,1.0,1.0,1.0,1.0,0.9431818181818182,0.9565683508207534,1.1363636363636365,mrr,0.9431818181818182,external
12,0.07103129197413813,0.16267981249799948,0.0148182305572506,104861,0.14924413678370474,0.9984033768208931,0.9979355967396438,0.9859675036927622,0.9874260355029586,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9413032143686564,0.8805970149253731,1.0,1.0,1.0,1.0,0.9303482587064676,0.9485974371685565,1.1940298507462686,0.1566402844769854,0.9970968946217487,0.9966445004864268,0.9816176470588235,0.9881569207994079,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9581860269360268,0.9393939393939394,1.0,1.0,1.0,1.0,0.9621212121212122,0.9702952326058262,1.121212121212121,mrr,0.9621212121212122,external
13,0.05953191091237536,0.15275669424845556,0.009136600741915992,104949,0.1532964033721956,0.9967973471796456,0.996007152456514,0.9895755770662695,0.9829881656804734,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9203233912619677,0.8507462686567164,1.0,1.0,1.0,1.0,0.9116915422885571,0.9345183466938117,1.2537313432835822,0.16273291793087838,0.995819329412484,0.9954785568493953,0.9793966151582045,0.9851961509992598,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9327684471274215,0.8939393939393939,1.0,1.0,1.0,1.0,0.9368686868686869,0.9498870827450948,1.1818181818181819,mrr,0.9368686868686869,external
14,0.06019865945386387,0.1516524876403505,0.009801940559236492,104592,0.14688740996349386,0.9984172389756264,0.997118832643902,0.9859675036927622,0.9874260355029586,67.0,67.0,42.47761194029851,4.0,20.17910447761194,0.9601083892666844,0.9104477611940298,1.0,1.0,1.0,1.0,0.9490049751243781,0.9630085467995927,1.1343283582089552,0.15509937646943078,0.9974682336144806,0.9964963286805836,0.9801616458486407,0.9874167283493709,66.0,66.0,43.03030303030303,4.0,20.46969696969697,0.9707126097430585,0.9393939393939394,1.0,1.0,1.0,1.0,0.9659090909090909,0.9747911105029751,1.0909090909090908,mrr,0.9659090909090909,external
