Substrate_SMILES,cluster_id,pc1,pc2,pc3,pair_count
CC(=O)N[C@H]1[C@H](OP(=O)(O)OP(=O)(O)OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O,4,-0.5062481,0.22927207,-0.14416718,2
CC(=O)OCC(CO)OC(C)=O,5,-0.029439794,0.20124932,0.038773958,6
CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(C)CCCCCC/C=C/CCCCCCCC(=O)O)O[C@H](COC(C)=O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,2,-0.2567738,0.08561002,0.17521955,4
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCO,4,-0.23455396,0.5692376,-0.2726097,4
CC(C)=CCC/C(C)=C/CCC(C)CCOP(=O)(O)O,4,-0.2739384,0.52778786,-0.36944863,34
CC(C)=CCC/C(C)=C/CO,4,-0.23273714,0.50947523,-0.20201688,2
CC(C)=CCCC(C)(O)[C@H]1CC[C@]2(C)C1CC[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C,7,0.020955168,0.27984884,0.15706581,4
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])[O-],4,-0.32996204,0.42366427,-0.43113014,2
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])OC1OC(CO)C(O)C(O)C1O,4,-0.5786436,0.041761387,-0.27627048,54
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])OC1OC(CO)C(O)C(OC2OC(C)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C1O,4,-0.57413334,0.03533405,-0.17402494,2
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])[O-],4,-0.32996204,0.42366427,-0.43113014,444
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCOP(=O)([O-])[O-],4,-0.29674274,0.50094336,-0.41296458,3208
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,7,0.17685696,0.23636068,0.26291347,8
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,7,0.17399098,0.20840298,0.1260384,4
CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,7,0.16042687,0.018828386,0.06111577,12
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,7,0.22247018,0.17048796,0.26786247,4
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,7,0.20556079,0.13223341,0.29324234,4
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,1,0.34862766,0.110014535,0.22936897,4
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,1,0.39647314,0.07471322,0.16976666,4
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1,0.35649717,0.1549096,0.25895607,4
